course,semester,subject_code,subject_name
DD(BCA-MCA),3,U33B6SS,SOFT SKILLS (JUNE 2022)
DD(BCA-MCA),4,U34A1GUI,GUI PROGRAMMING
DD(BCA-MCA),4,U34A2OST,OPEN SOURCE TECHNOLOGY
DD(BCA-MCA),4,U34A3IPP,INTRODUCTION OF PYTHON PROGRAMMING
DD(BCA-MCA),4,U34A4ET,EMERGING TECHNOLOGIES
DD(BCA-MCA),4,U34A5NS,NETWORK SECURITY
DD(BCA-MCA),4,U34A5FCC,FUNDAMENTALS OF CLOUD COMPUTING
DD(BCA-MCA),4,U34A6SQA,SOFTWARE TESTING & QUALITY ASSURANCE
DD(BCA-MCA),4,U34A6SPM,SOFTWARE PROJECT MANAGEMENT
DD(BCA-MCA),5,U35A1AWT,ADVANCED WEB TECHNOLOGY
DD(BCA-MCA),5,U35A2OSY,OPERATING SYSTEM
DD(BCA-MCA),5,U35A4FAD,FUNDAMENTALS OF ANDROID DEVELOPMENT
DD(BCA-MCA),5,U35A3ESC,E-SECURITY & CYBER LAW
DD(BCA-MCA),5,U35A3IS,INFORMATION SECURITY (2024-25)
DD(BCA-MCA),5,U35A5SDP,SYSTEM DEVELOPMENT PROJECT-I
DD(BCA-MCA),5,U35A3CS,CYBER SECURITY (2024-25)
DD(BCA-MCA),6,Teaching Scheme,BCA Semester - VI Teaching Scheme
DD(BCA-MCA),6,U36A1OST,OPEN SOURCE TECHNOLOGY
DD(BCA-MCA),6,U36A2SDPII,SYSTEM DEVELOPMENT PROJECT-II
